ISO,NAME,Hazard,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TUR,Turkey,FL,1.14,1.14,2.28,0,4.56,1.14,5.7,4.56,1.14,2.28,2.28,2.28
TKM,Turkmenistan,FL,0,0,0,0,0,0,0,0,0,0,0,0
TUV,Tuvalu,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UGA,Uganda,FL,0,0,1.275,3.825,3.825,1.275,1.275,5.1,3.825,3.825,3.825,2.55
UKR,Ukraine,FL,0,2.366666667,4.733333333,2.366666667,2.366666667,2.366666667,7.1,0,2.366666667,2.366666667,0,0
ARE,United Arab Emirates,FL,0,0,0,0,0,0,0,0,0,0,0,3.8
GBR,United Kingdom,FL,2.88,1.92,0,0.96,0,4.8,2.88,1.92,1.92,1.92,3.84,3.84
USA,United States of America,FL,1.92,1.92,3.52,4.16,6.4,3.52,3.84,3.2,2.24,1.92,1.6,1.92
URY,Uruguay,FL,0.78,0,0.78,2.34,3.9,1.56,0,0.78,0,0.78,0.78,0.78
UZB,Uzbekistan,FL,0,6.3,6.3,0,0,0,0,0,0,0,0,0
VUT,Vanuatu,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
VEN,Venezuela,FL,1.12,1.12,0,1.12,1.12,4.48,2.24,2.24,1.12,2.24,5.6,4.48
VNM,Viet Nam,FL,0.555555556,0,0,0.555555556,1.111111111,1.666666667,5.555555556,6.111111111,7.777777778,10,8.333333333,2.777777778
YEM,Yemen,FL,0.96,0.96,0.96,3.84,0.96,0.96,3.84,4.8,0.96,0.96,0,0
ZMB,Zambia,FL,3.666666667,4.583333333,5.5,0,2.75,0.916666667,0,0,0,0,0.916666667,1.833333333
ZWE,Zimbabwe,FL,6,4.8,3.6,0,0,0,0,0,0,0,0,3.6
AFG,Afghanistan,DR,1.695652174,3.702173913,9.1,9.015217391,7.630434783,5.736956522,4.889130435,4.210869565,3.645652174,2.430434783,1.27173913,1.102173913
ALB,Albania,DR,0,3.6,8.1,7.2,2.7,2.7,2.7,2.7,2.7,1.8,0,0
DZA,Algeria,DR,7.610574018,7.586102719,7.537160121,8.1,7.879758308,2.373716012,0,0,0.367069486,2.936555891,7.072205438,7.83081571
AGO,Angola,DR,0.724637681,0.391304348,0.84057971,0.724637681,0.449275362,0.31884058,0.130434783,0,0.028985507,0.420289855,1,0.869565217
ATG,Antigua and Barbuda,DR,x,x,x,x,x,x,x,x,x,x,x,x
ARG,Argentina,DR,4.02195122,3.690243902,3.4,3.068292683,2.943902439,2.529268293,1.575609756,1.741463415,3.234146341,5.1,4.685365854,3.524390244
ARM,Armenia,DR,0,0,5.083333333,6.1,4.575,4.575,3.05,1.525,0,0,0,0
AUS,Australia,DR,2.203448276,2.448275862,2.815517241,3.305172414,4.896551724,4.284482759,6.120689655,6.487931034,7.1,6.487931034,1.713793103,1.346551724
AUT,Austria,DR,0,0,1,0.8,0.563636364,0.218181818,0.090909091,0.018181818,0.109090909,0.072727273,0,0
AZE,Azerbaijan,DR,2.142857143,7.142857143,10,9.047619048,8.214285714,6.30952381,1.428571429,0.238095238,0.119047619,1.30952381,2.976190476,1.547619048
BHS,Bahamas,DR,0,0,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,DR,x,x,x,x,x,x,x,x,x,x,x,x
BGD,Bangladesh,DR,3.966666667,4.76,3.4,1.473333333,2.153333333,3.966666667,3.513333333,5.1,3.06,2.606666667,2.493333333,3.173333333
BRB,Barbados,DR,x,x,x,x,x,x,x,x,x,x,x,x
BLR,Belarus,DR,0,0,6.1,5.479661017,5.479661017,4.238983051,1.96440678,0.723728814,0,0,0,0
BEL,Belgium,DR,0,0,1,1,0.090909091,0,0,0,0,0,0,0
BLZ,Belize,DR,0,0,0,0,0.888888889,2,0.222222222,0,0,0,0,0
BEN,Benin,DR,0,0.02739726,0.780821918,1,0.808219178,0.424657534,0.287671233,0.205479452,0.726027397,0.479452055,0.123287671,0.02739726
BTN,Bhutan,DR,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,DR,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,DR,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,DR,8.461538462,9.384615385,9.384615385,8.307692308,8.461538462,3.846153846,0,0,0,0,7.230769231,10
BRA,Brazil,DR,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,DR,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,DR,0,2.04,5.1,4.59,1.53,1.53,2.04,2.04,1.02,0,0,0
BFA,Burkina Faso,DR,0,0,0.196078431,0.745098039,2.156862745,3.215686275,3.882352941,4,2.31372549,1.098039216,0.549019608,0
BDI,Burundi,DR,0,0,0,0,0,0,0,0,0.375,3,1.5,0.75
CPV,Cabo Verde,DR,0,0,0,0,0,0,0,0,0,0,0,0
KHM,Cambodia,DR,0.533333333,0.471794872,0.235897436,1.117948718,2,1.743589744,1.066666667,0.871794872,0.8,0.738461538,0.482051282,0.38974359
CMR,Cameroon,DR,0,0,1.6,2,1.84,1.92,1.2,0.96,1.28,1.12,0.64,0.08
CAN,Canada,DR,0,0,2.028571429,7.1,5.68,4.462857143,2.332857143,0.912857143,0.405714286,0.304285714,0.405714286,0.101428571
CAF,Central African Republic,DR,0,0.071428571,1,0.821428571,0.642857143,0.071428571,0,0,0,0,0,0
TCD,Chad,DR,0,0,0,0.188481675,1.235602094,3.183246073,4,3.036649215,1.821989529,1.172774869,0.670157068,0.062827225
CHL,Chile,DR,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,DR,0,0,0,0,0,0,0,0,0,0,0,0
COL,Colombia,DR,0.53030303,0.484848485,0.606060606,0.893939394,1,0.666666667,0.227272727,0.287878788,0.53030303,0.424242424,0.46969697,0.484848485
COM,Comoros,DR,0,0,0,0,0,0,0,0,0,0,0,0
COG,Congo,DR,0.769230769,0.461538462,0.461538462,0.461538462,0.384615385,0.461538462,0.461538462,0.307692308,0.384615385,0.615384615,1,0.769230769
COD,Congo DR,DR,0.230769231,0.230769231,0.307692308,0.153846154,0,0,0,0.461538462,1,0.769230769,0.384615385,0.153846154
CRI,Costa Rica,DR,0,0,0,0,0,0,0,0,0,0,0,0
CIV,C™te d'Ivoire,DR,0.071428571,0.595238095,2,1.19047619,0.619047619,0.333333333,0.19047619,0.714285714,1.714285714,1.214285714,0.595238095,0.261904762
HRV,Croatia,DR,0,0,6.1,4.88,2.44,1.83,1.83,1.83,1.22,0,0,0
CUB,Cuba,DR,0.636363636,0.5,0,2.340909091,4,2.545454545,1.136363636,0.818181818,0.681818182,0.318181818,0.340909091,0.522727273
