iso3,ym,value,coverage,n_cells,dataset_type
RWA,2016-02,0.2188,cells,35,consolidated_dataset
SAU,2016-02,0.2058,cells,2737,consolidated_dataset
SDN,2016-02,0.2981,cells,2487,consolidated_dataset
SEN,2016-02,-0.8174,cells,267,consolidated_dataset
SGP,2016-02,0.2171,nearest_cell,0,consolidated_dataset
SGS,2016-02,0.2477,cells,8,consolidated_dataset
SHN,2016-02,-2.1819,nearest_cell,0,consolidated_dataset
SLB,2016-02,0.3465,cells,34,consolidated_dataset
SLE,2016-02,-1.3211,cells,90,consolidated_dataset
SLV,2016-02,-0.6849,cells,28,consolidated_dataset
SMR,2016-02,-0.9213,nearest_cell,0,consolidated_dataset
SOM,2016-02,-1.1134,cells,848,consolidated_dataset
SPM,2016-02,-0.5987,nearest_cell,0,consolidated_dataset
SRB,2016-02,-0.1487,cells,137,consolidated_dataset
SSD,2016-02,-1.053,cells,821,consolidated_dataset
STP,2016-02,0.6087,cells,1,consolidated_dataset
SUR,2016-02,-0.8234,cells,187,consolidated_dataset
SVK,2016-02,1.0436,cells,89,consolidated_dataset
SVN,2016-02,0.9516,cells,39,consolidated_dataset
SWE,2016-02,-0.1564,cells,1252,consolidated_dataset
SWZ,2016-02,-1.8557,cells,25,consolidated_dataset
SXM,2016-02,-0.7359,nearest_cell,0,consolidated_dataset
SYC,2016-02,1.6171,nearest_cell,0,consolidated_dataset
SYR,2016-02,-1.3684,cells,296,consolidated_dataset
TCA,2016-02,0.8273,nearest_cell,0,consolidated_dataset
TCD,2016-02,0.2941,cells,1692,consolidated_dataset
TGO,2016-02,-1.9832,cells,74,consolidated_dataset
THA,2016-02,0.4365,cells,690,consolidated_dataset
TJK,2016-02,-1.3061,cells,237,consolidated_dataset
TKM,2016-02,-0.9108,cells,786,consolidated_dataset
TLS,2016-02,-1.0008,cells,20,consolidated_dataset
TON,2016-02,-0.6663,nearest_cell,0,consolidated_dataset
TTO,2016-02,-0.941,cells,6,consolidated_dataset
TUN,2016-02,-1.5072,cells,243,consolidated_dataset
TUR,2016-02,-0.2035,cells,1290,consolidated_dataset
TUV,2016-02,-1.6926,nearest_cell,0,consolidated_dataset
TWN,2016-02,1.5836,cells,52,consolidated_dataset
TZA,2016-02,0.838,cells,1192,consolidated_dataset
UGA,2016-02,0.0045,cells,291,consolidated_dataset
UKR,2016-02,0.3937,cells,1137,consolidated_dataset
URY,2016-02,-0.1083,cells,274,consolidated_dataset
USA,2016-02,0.0468,cells,17562,consolidated_dataset
UZB,2016-02,-0.7131,cells,768,consolidated_dataset
VAT,2016-02,0.01,nearest_cell,0,consolidated_dataset
VCT,2016-02,-1.1447,nearest_cell,0,consolidated_dataset
VEN,2016-02,-1.3089,cells,1182,consolidated_dataset
VGB,2016-02,-0.5354,nearest_cell,0,consolidated_dataset
